discussions_count,comments_count,movie_count,screenshot_count,awards_count,file_size_mb,change_notes,certified_compatible,creator_count,featured_collection_count,visitors_count,favorites_count,accepted,class_count,class_scout,class_soldier,class_pyro,class_demoman,class_heavy,class_engineer,class_medic,class_sniper,class_spy,item_slot_headgear,item_slot_weapon,item_slot_taunt,item_slot_misc,submitted_by_submitter
0,15,0,10,0,2.202,1,0,2,30,2989,99,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0
1,520,0,6,0,3.926,10,1,2,39,20322,906,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0
1,73,1,5,0,5.349,1,0,2,125,15013,1006,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0
0,1264,0,6,0,6.941,5,1,1,102,45069,2246,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0
1,10,0,5,0,5.605,5,1,4,47,4862,245,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0
0,1,0,7,0,0.892,3,0,1,119,5481,246,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0
6,56,0,4,2,2.294,1,0,1,132,13268,804,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
4,15,0,0,0,6.469,2,1,5,26,10226,215,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,172.0
0,10,0,2,2,6.2620000000000005,1,0,1,32,3363,166,1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0
1,17,0,0,1,0.08,1,0,3,53,2984,56,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
0,5,0,0,0,0.109,1,0,3,16,1691,35,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
